102280,1858,142,128,7578087,19,1,0,100000
102282,1858,142,144,7578087,20,1,0,10000
102152,1858,162,128,7247567,1,1,0,10000
102150,1858,162,144,7217967,2,1,0,10000
102270,1858,126,144,7578087,14,1,0,10000
102272,1858,126,160,7578087,15,1,0,10000
102254,1858,110,112,7578087,6,1,0,100000
102266,1858,126,112,7578087,12,1,0,100000
102278,1858,142,112,7578087,18,1,0,100000
102268,1858,126,128,7578087,13,1,0,100000
102256,1858,110,128,7578087,7,1,0,100000
102234,1858,94,112,7578087,0,1,0,100000
102244,1858,94,128,7578087,1,1,0,100000
102246,1858,94,144,7578087,2,1,0,10000
102248,1858,94,160,7578087,3,1,0,10000
102250,1858,94,176,7578087,4,1,0,5000000
102252,1858,94,192,7578087,5,1,0,3000000
102264,1858,110,192,7578087,11,1,0,5000000
102262,1858,110,176,7578087,10,1,0,10000000
102260,1858,110,160,7578087,9,1,0,10000
102258,1858,110,144,7578087,8,1,0,10000
102284,1858,142,160,7578087,21,1,0,10000
102274,1858,126,176,7578087,16,1,0,1000000
102286,1858,142,176,7578087,22,1,0,1000000
102276,1858,126,192,7578087,17,1,0,1000000
102288,1858,142,192,7578087,23,1,0,1000000
102154,1858,162,112,7247567,0,1,0,10000
102140,1858,178,128,7247567,7,1,0,5000000
102138,1858,178,144,7217967,8,1,0,10000
102136,1858,178,160,7217967,9,1,0,10000
102148,1858,162,160,7217967,3,1,0,10000
102134,1858,178,176,7217967,10,1,0,10000
102146,1858,162,176,7217967,4,1,0,10000
102132,1858,178,192,7255787,11,1,0,500000000
102144,1858,162,192,7217967,5,1,0,10000
102122,1858,194,176,7217967,16,1,0,10000
102120,1858,194,192,7247567,17,1,0,10000
102124,1858,194,160,7217967,15,1,0,5000000
102126,1858,194,144,7247567,14,1,0,5000000
102128,1858,194,128,7247567,13,1,0,10000
102130,1858,194,112,7247567,12,1,0,10000
102142,1858,178,112,7217967,6,1,0,10000
102116,1858,210,128,7217967,19,1,0,5000000
102114,1858,210,144,7255787,20,1,0,10000000
102112,1858,210,160,7255777,21,1,0,10000000
102110,1858,210,176,7217967,22,1,0,10000
102108,1858,210,192,7217967,23,1,0,10000
102098,1858,226,176,7217967,28,1,0,1000000
102100,1858,226,160,7217967,27,1,0,1000000
102102,1858,226,144,7217967,26,1,0,1000000
102104,1858,226,128,7217967,25,1,0,1000000
102106,1858,226,112,7247567,24,1,0,1000000
102118,1858,210,112,7217967,18,1,0,5000000
102096,1858,226,192,7217967,29,1,0,1000000
102212,8881,76,84,7218007,35,1,1,10
102092,8881,60,84,7218007,31,1,1,10
102214,8881,76,100,7218007,36,1,1,5
102090,8881,60,100,7218007,32,1,1,5
102208,8881,60,116,7218007,33,1,1,10
102216,8881,76,116,7218007,37,1,1,10
102094,8881,60,68,7218007,30,1,1,5
102210,8881,76,68,7218007,34,1,1,5
102218,8881,92,68,7218007,38,1,1,5
102220,8881,92,84,7218007,39,1,1,10
102222,8881,92,100,7218007,40,1,1,5
102224,8881,92,116,7218007,41,1,1,10
102232,8881,108,116,7218007,45,1,1,10
102202,8881,124,100,7218007,48,1,1,5
102230,8881,108,100,7218007,44,1,1,5
102204,8881,124,84,7218007,47,1,1,10
102228,8881,108,84,7218007,43,1,1,10
102206,8881,124,68,7218007,46,1,1,5
102226,8881,108,68,7218007,42,1,1,5
102200,8881,124,116,7218007,49,1,1,10
